2,2,0.7265253825768981
2,4,0.6706106588337146
2,8,0.5299837642830287
2,16,0.4057330801188527
2,32,0.2799546904410315
2,64,0.8098156682354367
4,2,0.543843237059225
4,4,0.4451375367150331
4,8,0.31613660540690497
4,16,0.3139160177866294
4,32,0.3082196165007235
4,64,0.7217474666648481
8,2,0.555526932528343
8,4,0.455946349518786
8,8,0.40901221556895906
8,16,0.3516023230241648
8,32,0.3022473407388551
8,64,0.2754529389208752
16,2,0.6055760481463798
16,4,0.4251376256433681
16,8,0.36526251631249607
16,16,0.3324645422951491
16,32,0.32012652413385184
16,64,0.24282012680386306
32,2,0.6490558732856342
32,4,0.43271160689247273
32,8,0.3718071571969765
32,16,0.3275522205195898
32,32,0.32622334619336074
32,64,0.238714481103608
64,2,0.6490558732856342
64,4,0.38393611155836577
64,8,0.38121481423050774
64,16,0.3373198264071651
64,32,0.31563817805991573
64,64,0.23765146207271123
