2,2,0.5548325
2,4,0.5449775
2,8,0.5449775
2,16,0.5449775
2,32,0.5449775
4,2,0.592953
4,4,0.59295
4,8,0.59295
4,16,0.59295
4,32,0.59295
8,2,0.7881725
8,4,0.782301
8,8,0.782301
8,16,0.782301
8,32,0.782301
16,2,0.830495
16,4,0.8283005
16,8,0.8283005
16,16,0.8283005
16,32,0.8283005
32,2,0.986881
32,4,0.9868785
32,8,0.9868785
32,16,0.9868785
32,32,0.9868785
2,2,0.216714
2,4,0.216714
2,8,0.216714
2,16,0.216714
2,32,0.216714
4,2,0.237878
4,4,0.237878
4,8,0.237878
4,16,0.237878
4,32,0.237878
8,2,0.293125
8,4,0.291333
8,8,0.291333
8,16,0.291333
8,32,0.291333
16,2,0.509416
16,4,0.5018175
16,8,0.5018175
16,16,0.5018175
16,32,0.5018175
32,2,0.790447
32,4,0.7876635
32,8,0.7876635
32,16,0.7876635
32,32,0.7876635
2,2,0.0
2,4,0.0
2,8,0.0
2,16,0.0
2,32,0.0
4,2,0.001437
4,4,0.001437
4,8,0.001437
4,16,0.001437
4,32,0.001437
8,2,0.0015555
8,4,0.001548
8,8,0.001548
8,16,0.001548
8,32,0.001548
16,2,0.0073445
16,4,0.0071765
16,8,0.0071765
16,16,0.0071765
16,32,0.0071765
32,2,0.102851
32,4,0.101118
32,8,0.101118
32,16,0.101118
32,32,0.101118
2,2,0.0
2,4,0.0
2,8,0.0
2,16,0.0
2,32,0.0
4,2,0.0
4,4,0.0
4,8,0.0
4,16,0.0
4,32,0.0
8,2,0.0
8,4,0.0
8,8,0.0
8,16,0.0
8,32,0.0
16,2,0.0
16,4,0.0
16,8,0.0
16,16,0.0
16,32,0.0
32,2,0.0
32,4,0.0
32,8,0.0
32,16,0.0
32,32,0.0
2,2,0.0
2,4,0.0
2,8,0.0
2,16,0.0
2,32,0.0
4,2,0.0
4,4,0.0
4,8,0.0
4,16,0.0
4,32,0.0
8,2,0.0
8,4,0.0
8,8,0.0
8,16,0.0
8,32,0.0
16,2,0.0
16,4,0.0
16,8,0.0
16,16,0.0
16,32,0.0
32,2,0.0
32,4,0.0
32,8,0.0
32,16,0.0
32,32,0.0
2,2,0.0
2,4,0.0
2,8,0.0
2,16,0.0
2,32,0.0
4,2,0.0
4,4,0.0
4,8,0.0
4,16,0.0
4,32,0.0
8,2,0.0
8,4,0.0
8,8,0.0
8,16,0.0
8,32,0.0
16,2,0.0
16,4,0.0
16,8,0.0
16,16,0.0
16,32,0.0
32,2,0.0
32,4,0.0
32,8,0.0
32,16,0.0
32,32,0.0
2,2,0.0
2,4,0.0
2,8,0.0
2,16,0.0
2,32,0.0
4,2,0.0
4,4,0.0
4,8,0.0
4,16,0.0
4,32,0.0
8,2,0.0
8,4,0.0
8,8,0.0
8,16,0.0
8,32,0.0
16,2,0.0
16,4,0.0
16,8,0.0
16,16,0.0
16,32,0.0
32,2,0.0
32,4,0.0
32,8,0.0
32,16,0.0
32,32,0.0
