dim,k,tempo (ms),max_v,% erro
8,2,"183,633295",65536,0
8,4,"498,466483",65536,0
8,8,"1091,996449",65536,0
8,16,"1994,808489",65536,0
8,32,"3680,094675",65536,0
16,2,"315,532587",65536,0
16,4,"879,050414",65536,0
16,8,"2539,034944",65536,0
16,16,"3524,493105",65536,0
16,32,"6651,125303",65536,0
32,2,"592,957493",65536,0
32,4,"1303,074201",65536,0
32,8,"4301,989469",65536,0
32,16,"9972,059834",65536,0
32,32,"18992,837883",65536,0
